Sequência   Nível
seq1	alta
seq2	baixa
seq3	baixa
seq4	nula
seq5	moderada
seq6	nula
seq7	alta
seq8	nula
seq9	baixa
seq10	baixa
seq11	alta
seq12	moderada
seq13	alta
seq14	nula
seq15	moderada
seq16	moderada
seq17	nula
seq18	nula
seq19	baixa
seq20	nula
seq21	moderada
seq22	moderada
seq23	moderada
seq24	nula
seq25	baixa
seq26	moderada
seq27	nula
seq28	alta
seq29	baixa
seq30	moderada
seq31	alta
seq32	moderada
seq33	moderada
seq34	baixa
seq35	moderada
seq36	moderada
seq37	moderada
seq38	alta
seq39	alta
seq40	baixa
seq41	moderada
seq42	nula
seq43	moderada
seq44	alta
seq45	moderada
seq46	nula
seq47	baixa
seq48	alta
seq49	moderada
seq50	moderada
seq51	alta
seq52	baixa
seq53	nula
seq54	nula
seq55	moderada
seq56	nula
seq57	baixa
seq58	baixa
seq59	moderada
seq60	moderada
seq61	moderada
seq62	baixa
seq63	moderada
seq64	baixa
seq65	nula
seq66	nula
seq67	moderada
seq68	alta
seq69	alta
seq70	moderada
seq71	moderada
seq72	baixa
seq73	baixa
seq74	moderada
seq75	moderada
seq76	nula
seq77	moderada
seq78	baixa
seq79	moderada
seq80	nula
seq81	baixa
seq82	moderada
seq83	baixa
seq84	alta
seq85	baixa
seq86	alta
seq87	moderada
seq88	alta
seq89	baixa
seq90	moderada
seq91	nula
seq92	baixa
seq93	baixa
seq94	baixa
seq95	moderada
seq96	moderada
seq97	moderada
seq98	baixa
seq99	baixa
seq100	nula
seq101	moderada
seq102	alta
seq103	baixa
seq104	alta
seq105	moderada
seq106	nula
seq107	baixa
seq108	alta
seq109	moderada
seq110	moderada
seq111	baixa
seq112	baixa
seq113	baixa
seq114	baixa
seq115	moderada
seq116	baixa
seq117	baixa
seq118	baixa
seq119	baixa
seq120	moderada
seq121	moderada
seq122	alta
seq123	alta
seq124	baixa
seq125	moderada
seq126	nula
seq127	alta
seq128	baixa
seq129	alta
seq130	nula
seq131	moderada
seq132	moderada
seq133	moderada
seq134	alta
seq135	baixa
seq136	baixa
seq137	baixa
seq138	alta
seq139	baixa
seq140	nula
seq141	moderada
seq142	alta
seq143	baixa
seq144	alta
seq145	alta
seq146	nula
seq147	moderada
seq148	baixa
seq149	moderada
seq150	moderada
seq151	baixa
seq152	baixa
seq153	baixa
seq154	nula
seq155	moderada
seq156	baixa
seq157	moderada
seq158	moderada
seq159	baixa
seq160	baixa
seq161	baixa
seq162	alta
seq163	baixa
seq164	baixa
seq165	moderada
seq166	moderada
seq167	baixa
seq168	moderada
seq169	baixa
seq170	baixa
seq171	nula
seq172	baixa
seq173	alta
seq174	alta
seq175	alta
seq176	baixa
seq177	baixa
seq178	baixa
seq179	baixa
seq180	baixa
seq181	nula
seq182	moderada
seq183	alta
seq184	moderada
seq185	moderada
seq186	moderada
seq187	alta
seq188	moderada
seq189	baixa
seq190	moderada
seq191	alta
seq192	moderada
